Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Date added / updated,Logo Image,Target locations hide,Regions,Regions 2,Sector,Units (min),Units (max),Contact,Phone,Website,email,Recent planning application,Application 1 - Link to planning application,Application 1 - LPA of the application,Application 1 - no. of dwellings,Applicattion 1 - Date,Contact linkedin,Link to recent planning applications
Aequus Developments,aequus-developments,63c82b7a254c065170a9ee94,66604dce217c0b26b9d70606,Wed Jun 05 2024 11:36:46 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:46 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dce217c0b26b9d70566_65e9a3009cd906453c4cbfba_658179e14fb9c0ec8773c96d_64946857fd417350336541ed_Aequus%25252520Developments%25252520logo.jpeg,,South West,south-west,Residential,5,25,Tim Richens (Managing Director),,https://www.aequusdevelopments.co.uk/we-buy-land/,enquiries@aequusdevelopments.co.uk,false,,,,,https://www.linkedin.com/in/tim-richens-99078838/,https://www.planninglist.co.uk/sectors/residential?*=Aequus+Developments
Ainscough Strategic Land,ainscough-strategic-land,63c82b7a254c065170a9ee94,66604dcdc03fd9e04ceec23a,Wed Jun 05 2024 11:36:45 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:45 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dcdc03fd9e04ceec20d_65e9a300556885853b6c35d0_658179e2ca1784715477bf91_64946857fd417350336541f3_Ainscough%25252520Strategic%25252520Land%25252520logo.png,,"London, Midlands, North East, North West, Scotland, South East, South West, Wales",london; midlands; north-east; north-west; scotland; south-east; south-west; wales,Residential,50,2500,Liam Kenyon (Associate Land Director),,https://www.ainscoughstrategicland.co.uk/land-promotion-explained/,liam.kenyon@ainscoughstrategicland.co.uk,false,,,,,https://www.linkedin.com/in/liam-kenyon-02074958/,https://www.planninglist.co.uk/sectors/residential?*=Ainscough+Strategic+Land
AJC Group,ajc-group,63c82b7a254c065170a9ee94,66604dcdad68c66ae00b445d,Wed Jun 05 2024 11:36:45 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:45 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dcdad68c66ae00b444b_65e9a300a1b42720b8e81dcc_658179e2472161887f320dac_64946857fd417350336541ec_AJC%25252520Group%25252520logo.png,,South East,south-east,Residential,5,150,Zoe Wensley-Smith (Land Director),,https://ajcgroup.uk/land-promotion-and-acquisition/,Zoe.Wensley-Smith@ajcgroup.uk,true,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_POOLE_DCAPR_270083,Poole,33,Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/zoe-wensley-smith-b9717b2a/,https://www.planninglist.co.uk/sectors/residential?*=ajc+group
Akehurst Homes,akehurst-homes,63c82b7a254c065170a9ee94,66604dcdff0fd2f7f6db3496,Wed Jun 05 2024 11:36:45 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:45 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Fri May 10 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dcdff0fd2f7f6db348d_663e23c13c55b32b80ce12a5_Screenshot%25202024-05-10%2520at%252014.40.13.png,,South East,south-east,Residential,5,50,James Lench (Director),,https://www.akehursthomes.co.uk/about,james@akehursthomes.co.uk,true,https://planningpa.lewes-eastbourne.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=SAJV4VJDL7P00,Lewes,43,Tue Mar 19 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/james-lench-b4093214/,
Aldi,aldi,63c82b7a254c065170a9ee94,66604dce6612ac68f4b3ed40,Wed Jun 05 2024 11:36:45 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:45 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Fri Mar 08 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dcd6612ac68f4b3ed33_64946857fd417350336538ef_632c8a7f6041d63b6679c90c_307641249_5666229876771101_2909935699806397759_n.jpeg,,UK,east-anglia; ireland; london; midlands; north-east; north-west; northern-ireland; scotland; south-east; south-west; wales,Retail; Mixed,,,Land Team,,https://www.aldi.co.uk/corporate/property/required-towns,info.nationalproperty@aldi.co.uk,true,https://eplanning.birmingham.gov.uk/Northgate/PlanningExplorer/Generic/StdDetails.aspx?PT=Planning%20Applications%20On-Line&TYPE=PL%2FPlanningPK.xml&PARAM0=1283474&XSLT=%2FNorthgate%2FPlanningExplorer%2FSiteFiles%2FSkins%2FBirmingham%2Fxslt%2FPL%2FPLDetails.xslt&FT=Planning%20Application%20Details&PUBLIC=Y&XMLSIDE=%2FNorthgate%2FPlanningExplorer%2FSiteFiles%2FSkins%2FBirmingham%2FMenus%2FPL.xml&DAURI=PLANNING,Birmingham,,Wed Dec 06 2023 00:00:00 GMT+0000 (Coordinated Universal Time),,https://www.planninglist.co.uk/sectors/foodstore?*=aldi
Alfred Homes,alfred-homes,63c82b7a254c065170a9ee94,66604dcd17698ed3d517b167,Wed Jun 05 2024 11:36:45 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:45 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dcd17698ed3d517b14e_65e9a300d3027555c3464ba5_658179e21c0ad8e3be772efd_64946857fd417350336541ef_Alfred%25252520Homes%25252520Logo.png,TestValley,South East,south-east,Residential,50,500,Chris Rees (Planning Director),,https://www.alfredstrategic.co.uk/land-requirements.php,CRees@alfredhomes.co.uk,false,,,,,https://www.linkedin.com/in/chris-rees-17565a160/,https://www.planninglist.co.uk/sectors/residential?*=Alfred+Homes
Allison Homes,allison-homes,63c82b7a254c065170a9ee94,66604dce666fa96f8f53e101,Wed Jun 05 2024 11:36:46 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:46 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dcd666fa96f8f53e0f2_65e9a3016b72bcc8b237ec45_658179e2c3d98d46153d76a1_64946857fd417350336541ee_Allison%25252520Homes.jpeg,,"North East, Midlands",north-east; midlands,Residential,5,25,David Morris (Land Director),,https://allison-homes.co.uk/developments/,enquiries@allison-homes.co.uk,true,https://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=R45Y14GGJ2900,,64,Thu Dec 23 2021 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/david-morris-36695541/,https://www.planninglist.co.uk/sectors/residential?*=Allison+Homes
Ama Homes,ama-homes,63c82b7a254c065170a9ee94,66604dce0195e3ebdf12c736,Wed Jun 05 2024 11:36:46 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:46 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dce0195e3ebdf12c71a_65e9a3017136a7e25e3247ec_658179e3cb26dce1b6f13875_64946857fd417350336541e8_Ama%25252520Homes.jpeg,,Scotland,scotland,Residential,10,50,Behnam Afshar (Director),,https://amahomes.co.uk/residential/,behnama@amanewtown.co.uk,false,,,,,https://www.linkedin.com/in/behnam-afshar-8a4b1712/,https://www.planninglist.co.uk/sectors/residential?*=Ama+Homes
Amersham Land,amersham-land,63c82b7a254c065170a9ee94,66604dce1ffe1f9273e84551,Wed Jun 05 2024 11:36:46 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:46 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dce1ffe1f9273e8454b_65e9a301481a9b4db8593dcc_658179e3a045a6e103fa72a5_64946857fd417350336541e7_amersham%25252520land%25252520logo.png,,South East,south-east,Residential,5,15,Richard (Director),,http://www.amershamland.co.uk/type-of-sites-wanted.html,richard@amershamland.co.uk,false,,,,,,https://www.planninglist.co.uk/sectors/residential?*=Amersham+Land
Amherst Homes,amherst-homes,63c82b7a254c065170a9ee94,66604dcf6c41f542151cfa4e,Wed Jun 05 2024 11:36:47 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:47 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dce6c41f542151cfa0e_65e9a301057ff53287162570_658179e391e45d0bbaddcd06_64946857fd417350336541d6_Amherst%25252520Homes%25252520Logo.jpeg,Uttlesford,South East,south-east,Residential,5,25,William Mallett (Operations Manager),,https://www.amhersthomes.co.uk/land/,William@amhersthomes.co.uk,false,,,,,https://www.linkedin.com/in/william-mallett-02813487/,https://www.planninglist.co.uk/sectors/residential?*=Amherst+Homes
Amiri Homes,amiri-homes,63c82b7a254c065170a9ee94,66604dcebdca926c1d65ae4c,Wed Jun 05 2024 11:36:46 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:46 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dcebdca926c1d65ae38_65e9a30107c6f75cd8525263_658179e35c7a0752bc523baa_64a7e5ea297b2c6ec0746123_Screenshot%252525202023-07-07%25252520at%2525252011.16.07.png,,South East; South West,south-east; south-west,,5,50,Jason Osborn (Head of Land & Development),,https://amirigroup.co.uk/homes/land,info@amirigroup.co.uk,false,,,,,https://www.linkedin.com/in/jason-osborn-a11290266/,https://www.planninglist.co.uk/sectors/residential?*=Amiri+Homes
Anderson Group,anderson-group,63c82b7a254c065170a9ee94,66604dcedf59732aab4706e0,Wed Jun 05 2024 11:36:46 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:46 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dcedf59732aab4706be_65e9a30144b8c24101588481_658179e36a28387a231caef9_64946857fd417350336541d9_Anderson%25252520Group.png,,South East,south-east,Residential,25,100,Glenn Potter (Development),,https://www.andersongroup.co.uk/what-we-do/,g.Potter@andersongroup.co.uk,false,,,,,,https://www.planninglist.co.uk/sectors/residential?*=Anderson+Group
Antler Homes PLC,antler-homes-plc,63c82b7a254c065170a9ee94,66604dce97a50c65e2554d1c,Wed Jun 05 2024 11:36:46 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:46 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dce97a50c65e2554d12_65e9a3015d22cedb70e10818_658179e412ef3814033f535f_64946857fd417350336541d7_Antler%25252520Homes%25252520PLC.png,Guildford,South East,south-east,Residential,10,50,Joe Halstead (Senior Land Manager),01276 538910,https://www.antlerhomes.co.uk/land-and-planning,Joe.Halstead@antlerhomes.co.uk,false,,,,,https://www.linkedin.com/in/joe-halstead-183a425b/,https://www.planninglist.co.uk/sectors/residential?*=Antler+Homes+PLC
Antrim Construction,antrim-construction,63c82b7a254c065170a9ee94,66604dcf9a6c2841c899ef59,Wed Jun 05 2024 11:36:47 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:47 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dcf9a6c2841c899ee42_65e9a30184a9081953e1c506_658179e42dc33aef774e5017_64946857fd417350336541da_Antrim%25252520Construction%25252520logo.jpeg,,Northern Ireland,northern-ireland,Residential,5,50,Peter McMullan (MD),,https://www.antrimconstruction.net/company,peter@antrimconstruction.net,false,,,,,https://www.linkedin.com/in/peter-mcmullan-bb241851/,https://www.planninglist.co.uk/sectors/residential?*=Antrim+Construction
Anwyl,anwyl,63c82b7a254c065170a9ee94,66604dcf2f7acd4bfac801ec,Wed Jun 05 2024 11:36:47 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:47 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dcf2f7acd4bfac801d6_65e9a30177b3adce221b1d8a_658179e40cdfe876cc91dbd6_64946857fd417350336541d4_Anwyl.jpeg,,"North West, South East, Wales",north-west; south-east; wales,Residential,50,250,Duncan Gregory (Land and Planning Director),,https://www.anwylland.co.uk/team/duncan-gregory/,land@anwyl.co.uk,false,,,,,https://www.linkedin.com/in/duncan-gregory-799173aa/,https://www.planninglist.co.uk/sectors/residential?*=Anwyl
Applethwaite Homes,applethwaite-homes,63c82b7a254c065170a9ee94,66604dcf95f67f7307f209a1,Wed Jun 05 2024 11:36:47 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:47 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dcf95f67f7307f20954_65e9a3028c1767c3ea7b132c_658179e5b5ff0b77bac184e4_64946857fd417350336541db_Applethwaite%25252520Homes%25252520Ltd.jpeg,Blackburn,North West,north-west,Residential,10,100,Richard Calderbank (Land Manager),,https://www.applethwaite-homes.co.uk/developments/,info@applethwaite-homes.co.uk,false,,,,,https://www.linkedin.com/in/richard-calderbank-08038b52/,https://www.planninglist.co.uk/sectors/residential?*=Applethwaite+Homes
Aquinna Homes,aquinna-homes,63c82b7a254c065170a9ee94,66604dcfaf4107282977041a,Wed Jun 05 2024 11:36:47 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:47 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dcfaf41072829770414_65e9a302c2e0e2c23ec79eff_658179e5441714e1db3fd771_64946857fd417350336541e6_Aquinna%25252520Homes%25252520logo.png,,"London, South East, South West",london; south-west; south-east,Residential,5,25,John Strange (Land Director),01494 739400,https://www.aquinnahomes.com/land,land@aquinnahomes.com,false,,,,,https://www.linkedin.com/in/john-strange-4b508219/,https://www.planninglist.co.uk/sectors/residential?*=Aquinna+Homes
Aquitaine,aquitaine,63c82b7a254c065170a9ee94,66604dd3c5ec9df7169f3bba,Wed Jun 05 2024 11:36:51 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:51 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd2c5ec9df7169f3ae0_65e9a3026843cdb4c0d91596_658179e5a70717a189f1e331_64946857fd417350336541e9_Aquitaine%25252520logo.png,,"South East, South West",south-east; south-west,Residential,5,10,Mark Moores (Director),,https://www.aquitainedevelopments.co.uk/sites-wanted,mark@clydesdalegroup.co.uk,false,,,,,,https://www.planninglist.co.uk/sectors/residential?*=Aquitaine
ARA Homes,ara-homes,63c82b7a254c065170a9ee94,66604dcf2f584e52f6fb1321,Wed Jun 05 2024 11:36:47 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:47 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 09 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dcf2f584e52f6fb131b_65e9a3025d22cedb70e1087b_658179e52b404f4f37dd809f_64946857fd417350336541d8_ARA%25252520Homes%25252520logo.png,,South West,south-west,Residential,5,50,Robert Shaw (Director),,https://www.arahomes.co.uk/land.php,rshaw@arahomes.co.uk,false,,,,,https://www.linkedin.com/in/robert-shaw-b5501414/,https://www.planninglist.co.uk/sectors/residential?*=ARA+Homes
